Family-model,Version,Filename,EventType,Core Type,Native Model ID,Core Role Name
GenuineIntel-6-2E,V3,/NHM-EX/NehalemEX_core_V3.json,core,,,
GenuineIntel-6-1E,V3,/NHM-EP/NehalemEP_core_V3.json,core,,,
GenuineIntel-6-1F,V3,/NHM-EP/NehalemEP_core_V3.json,core,,,
GenuineIntel-6-1A,V3,/NHM-EP/NehalemEP_core_V3.json,core,,,
GenuineIntel-6-2F,V3,/WSM-EX/WestmereEX_core_V3.json,core,,,
GenuineIntel-6-25,V3,/WSM-EP-SP/WestmereEP-SP_core_V3.json,core,,,
GenuineIntel-6-2C,V2,/WSM-EP-DP/WestmereEP-DP_core_V2.json,core,,,
GenuineIntel-6-37,V14,/SLM/Silvermont_core_V14.json,core,,,
GenuineIntel-6-37,V14,/SLM/Silvermont_matrix_V14.json,offcore,,,
GenuineIntel-6-4A,V14,/SLM/Silvermont_core_V14.json,core,,,
GenuineIntel-6-4A,V14,/SLM/Silvermont_matrix_V14.json,offcore,,,
GenuineIntel-6-4D,V14,/SLM/Silvermont_core_V14.json,core,,,
GenuineIntel-6-4D,V14,/SLM/Silvermont_matrix_V14.json,offcore,,,
GenuineIntel-6-4C,V14,/SLM/Silvermont_core_V14.json,core,,,
GenuineIntel-6-4C,V14,/SLM/Silvermont_matrix_V14.json,offcore,,,
GenuineIntel-6-5A,V14,/SLM/Silvermont_core_V14.json,core,,,
GenuineIntel-6-5A,V14,/SLM/Silvermont_matrix_V14.json,offcore,,,
GenuineIntel-6-5C,V13,/GLM/goldmont_core_v13.json,core,,,
GenuineIntel-6-5C,V13,/GLM/goldmont_matrix_v13.json,offcore,,,
GenuineIntel-6-5F,V13,/GLM/goldmont_core_v13.json,core,,,
GenuineIntel-6-5F,V13,/GLM/goldmont_matrix_v13.json,offcore,,,
GenuineIntel-6-1C,V4,/BNL/Bonnell_core_V4.json,core,,,
GenuineIntel-6-26,V4,/BNL/Bonnell_core_V4.json,core,,,
GenuineIntel-6-27,V4,/BNL/Bonnell_core_V4.json,core,,,
GenuineIntel-6-36,V4,/BNL/Bonnell_core_V4.json,core,,,
GenuineIntel-6-35,V4,/BNL/Bonnell_core_V4.json,core,,,
GenuineIntel-6-2A,V17,/SNB/sandybridge_core_v17.json,core,,,
GenuineIntel-6-2A,V17,/SNB/sandybridge_matrix_v17.json,offcore,,,
GenuineIntel-6-2A,V17,/SNB/sandybridge_uncore_v17.json,uncore,,,
GenuineIntel-6-2D,V21,/JKT/Jaketown_core_V21.json,core,,,
GenuineIntel-6-2D,V21,/JKT/Jaketown_matrix_V21.json,offcore,,,
GenuineIntel-6-2D,V21,/JKT/Jaketown_uncore_V21.json,uncore,,,
GenuineIntel-6-3A,V22,/IVB/ivybridge_core_v22.json,core,,,
GenuineIntel-6-3A,V22,/IVB/ivybridge_matrix_v22.json,offcore,,,
GenuineIntel-6-3A,V22,/IVB/ivybridge_uncore_v22.json,uncore,,,
GenuineIntel-6-3E,V22,/IVT/ivytown_core_v22.json,core,,,
GenuineIntel-6-3E,V22,/IVT/ivytown_matrix_v22.json,offcore,,,
GenuineIntel-6-3E,V22,/IVT/ivytown_uncore_v22.json,uncore,,,
GenuineIntel-6-3C,V32,/HSW/haswell_core_v32.json,core,,,
GenuineIntel-6-45,V32,/HSW/haswell_core_v32.json,core,,,
GenuineIntel-6-46,V32,/HSW/haswell_core_v32.json,core,,,
GenuineIntel-6-3C,V32,/HSW/haswell_matrix_v32.json,offcore,,,
GenuineIntel-6-45,V32,/HSW/haswell_matrix_v32.json,offcore,,,
GenuineIntel-6-46,V32,/HSW/haswell_matrix_v32.json,offcore,,,
GenuineIntel-6-3C,V32,/HSW/haswell_uncore_v32.json,uncore,,,
GenuineIntel-6-45,V32,/HSW/haswell_uncore_v32.json,uncore,,,
GenuineIntel-6-46,V32,/HSW/haswell_uncore_v32.json,uncore,,,
GenuineIntel-6-3F,V26,/HSX/haswellx_core_v26.json,core,,,
GenuineIntel-6-3F,V26,/HSX/haswellx_matrix_v26.json,offcore,,,
GenuineIntel-6-3F,V26,/HSX/haswellx_uncore_v26.json,uncore,,,
GenuineIntel-6-3D,V26,/BDW/broadwell_core_v26.json,core,,,
GenuineIntel-6-3D,V26,/BDW/broadwell_matrix_v26.json,offcore,,,
GenuineIntel-6-3D,V26,/BDW/broadwell_uncore_v26.json,uncore,,,
GenuineIntel-6-3D,V26,/BDW/broadwell_fp_arith_inst_v26.json,fp_arith_inst,,,
GenuineIntel-6-47,V26,/BDW/broadwell_core_v26.json,core,,,
GenuineIntel-6-47,V26,/BDW/broadwell_matrix_v26.json,offcore,,,
GenuineIntel-6-47,V26,/BDW/broadwell_uncore_v26.json,uncore,,,
GenuineIntel-6-47,V26,/BDW/broadwell_fp_arith_inst_v26.json,fp_arith_inst,,,
GenuineIntel-6-4F,V19,/BDX/broadwellx_core_v19.json,core,,,
GenuineIntel-6-4F,V19,/BDX/broadwellx_matrix_v19.json,offcore,,,
GenuineIntel-6-4F,V19,/BDX/broadwellx_uncore_v19.json,uncore,,,
GenuineIntel-6-56,V23,/BDW-DE/broadwellde_core_v7.json,core,,,
GenuineIntel-6-56,V23,/BDW-DE/broadwellde_uncore_v7.json,uncore,,,
GenuineIntel-6-4E,V53,/SKL/skylake_core_v53.json,core,,,
GenuineIntel-6-5E,V53,/SKL/skylake_core_v53.json,core,,,
GenuineIntel-6-4E,V53,/SKL/skylake_matrix_v53.json,offcore,,,
GenuineIntel-6-5E,V53,/SKL/skylake_matrix_v53.json,offcore,,,
GenuineIntel-6-4E,V53,/SKL/skylake_uncore_v53.json,uncore,,,
GenuineIntel-6-5E,V53,/SKL/skylake_uncore_v53.json,uncore,,,
GenuineIntel-6-4E,V53,/SKL/skylake_fp_arith_inst_v53.json,fp_arith_inst,,,
GenuineIntel-6-5E,V53,/SKL/skylake_fp_arith_inst_v53.json,fp_arith_inst,,,
GenuineIntel-6-8E,V53,/SKL/skylake_core_v53.json,core,,,
GenuineIntel-6-9E,V53,/SKL/skylake_core_v53.json,core,,,
GenuineIntel-6-8E,V53,/SKL/skylake_matrix_v53.json,offcore,,,
GenuineIntel-6-9E,V53,/SKL/skylake_matrix_v53.json,offcore,,,
GenuineIntel-6-8E,V53,/SKL/skylake_uncore_v53.json,uncore,,,
GenuineIntel-6-9E,V53,/SKL/skylake_uncore_v53.json,uncore,,,
GenuineIntel-6-8E,V53,/SKL/skylake_fp_arith_inst_v53.json,fp_arith_inst,,,
GenuineIntel-6-9E,V53,/SKL/skylake_fp_arith_inst_v53.json,fp_arith_inst,,,
GenuineIntel-6-A5,V53,/SKL/skylake_core_v53.json,core,,,
GenuineIntel-6-A6,V53,/SKL/skylake_core_v53.json,core,,,
GenuineIntel-6-A5,V53,/SKL/skylake_matrix_v53.json,offcore,,,
GenuineIntel-6-A6,V53,/SKL/skylake_matrix_v53.json,offcore,,,
GenuineIntel-6-A5,V53,/SKL/skylake_uncore_v53.json,uncore,,,
GenuineIntel-6-A6,V53,/SKL/skylake_uncore_v53.json,uncore,,,
GenuineIntel-6-A5,V53,/SKL/skylake_fp_arith_inst_v53.json,fp_arith_inst,,,
GenuineIntel-6-A6,V53,/SKL/skylake_fp_arith_inst_v53.json,fp_arith_inst,,,
GenuineIntel-6-57,V9,/KNL/KnightsLanding_core_V9.json,core,,,
GenuineIntel-6-57,V9,/KNL/KnightsLanding_matrix_V9.json,offcore,,,
GenuineIntel-6-57,V9,/KNL/KnightsLanding_uncore_V9.json,uncore,,,
GenuineIntel-6-85,V9,/KNM/KnightsLanding_core_V9.json,core,,,
GenuineIntel-6-85,V9,/KNM/KnightsLanding_matrix_V9.json,offcore,,,
GenuineIntel-6-85,V9,/KNM/KnightsLanding_uncore_V9.json,uncore,,,
GenuineIntel-6-55-[01234],V1.28,/SKX/skylakex_core_v1.28.json,core,,,
GenuineIntel-6-55-[01234],V1.28,/SKX/skylakex_matrix_v1.28.json,offcore,,,
GenuineIntel-6-55-[01234],V1.28,/SKX/skylakex_fp_arith_inst_v1.28.json,fp_arith_inst,,,
GenuineIntel-6-55-[01234],V1.28,/SKX/skylakex_uncore_v1.28.json,uncore,,,
GenuineIntel-6-55-[01234],V1.28,/SKX/skylakex_uncore_v1.28_experimental.json,uncore experimental,,,
GenuineIntel-6-55-[56789ABCDEF],V1.16,/CLX/cascadelakex_core_v1.16.json,core,,,
GenuineIntel-6-55-[56789ABCDEF],V1.16,/CLX/cascadelakex_fp_arith_inst_v1.16.json,fp_arith_inst,,,
GenuineIntel-6-55-[56789ABCDEF],V1.16,/CLX/cascadelakex_uncore_v1.16.json,uncore,,,
GenuineIntel-6-55-[56789ABCDEF],V1.16,/CLX/cascadelakex_uncore_v1.16_experimental.json,uncore experimental,,,
GenuineIntel-6-7A,V1.01,/GLP/goldmontplus_core_v1.01.json,core,,,
GenuineIntel-6-7A,V1.01,/GLP/goldmontplus_fp_arith_inst_v1.01.json,fp_arith_inst,,,
GenuineIntel-6-7A,V1.01,/GLP/goldmontplus_matrix_v1.01.json,offcore,,,
GenuineIntel-6-7D,V1.15,/ICL/icelake_core_v1.15.json,core,,,
GenuineIntel-6-7D,V1.15,/ICL/icelake_uncore_v1.15.json,uncore,,,
